(   50 ,  150 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  100 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  100 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
